"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 29 17:55:49 CST 2020","Tue Sep 29 17:55:50 CST 2020","68","testCase.SMP.authentication.SoftwareController.delSoftwareInstallInfo","test_delSoftwareInstallInfo","Test_class","","","删除软件安装信息失败-id不存在",""
"passed","Tue Sep 29 17:55:49 CST 2020","Tue Sep 29 17:55:49 CST 2020","70","testCase.SMP.authentication.SoftwareController.delSoftwareInstallInfo","test_delSoftwareInstallInfo","Test_class","","","删除软件安装信息",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","101","testCase.SMP.authentication.BlackListController.editInfoMessage","test_editInfoMessage","Test_class","","","修改提示信息，有到无，更新人用户",""
"passed","Tue Sep 29 17:55:38 CST 2020","Tue Sep 29 17:55:38 CST 2020","86","testCase.SMP.authentication.BlackListController.editCategory","test_editCategory","Test_class","","","修改黑名单类型对象-MAC_SPECIFIC类型修改mac",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","61","testCase.SMP.authentication.RedirectPoliciesController.delwebRedirectPolicies","test_delwebRedirectPolicies","Test_class","","","删除web重定向策略-id不存在",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","116","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件版本",""
"passed","Tue Sep 29 17:55:33 CST 2020","Tue Sep 29 17:55:33 CST 2020","104","testCase.SMP.authentication.AuthenticationPolicyController.batchDelauthenticationPolicies","test_batchDelauthenticationPolicies","Test_class","","","批量删除认证策略-全部ID均不存在",""
"passed","Tue Sep 29 17:55:51 CST 2020","Tue Sep 29 17:55:51 CST 2020","130","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","修改软件名称",""
"passed","Tue Sep 29 17:55:26 CST 2020","Tue Sep 29 17:55:26 CST 2020","143","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdmin","test_addPolicyAdmin","Test_class","","","添加关联管理员-已存在管理员，添加重复的",""
"passed","Tue Sep 29 17:55:45 CST 2020","Tue Sep 29 17:55:45 CST 2020","120","testCase.SMP.authentication.SoftwareController.addSoftwareInfo","test_addsoftwareinfo","Test_class","","","软件ICON为空",""
"passed","Tue Sep 29 17:55:37 CST 2020","Tue Sep 29 17:55:37 CST 2020","106","testCase.SMP.authentication.BlackListController.batchInvalidblackLists","test_batchInvalid","Test_class","","","批量黑名单失效,有效Id+无效Id",""
"passed","Tue Sep 29 17:55:47 CST 2020","Tue Sep 29 17:55:47 CST 2020","182","testCase.SMP.authentication.SoftwareController.batchDelSoftwareInfo","test_batchDelSoftware","Test_class","","","批量删除软件信息，ID值不存在",""
"passed","Tue Sep 29 17:55:38 CST 2020","Tue Sep 29 17:55:38 CST 2020","94","testCase.SMP.authentication.BlackListController.editCategory","test_editCategory","Test_class","","","修改黑名单类型对象-USER-修改userID",""
"passed","Tue Sep 29 17:55:38 CST 2020","Tue Sep 29 17:55:38 CST 2020","103","testCase.SMP.authentication.BlackListController.editCategory","test_editCategory","Test_class","","","修改黑名单类型对象-USER-MAC",""
"passed","Tue Sep 29 17:55:48 CST 2020","Tue Sep 29 17:55:48 CST 2020","176","testCase.SMP.authentication.SoftwareController.batchDelSoftwareInstallInfo","test_batchDelSoftwareInstallInfo","Test_class","","","批量删除软件安装信息，ID值存在",""
"passed","Tue Sep 29 17:55:27 CST 2020","Tue Sep 29 17:55:27 CST 2020","123","testCase.SMP.authentication.AuthenticationPolicyController.addPolicyAdmins","test_addPolicyAdmins","Test_class","","","批量添加关联管理员-添加多个，全部为新",""
"passed","Tue Sep 29 17:55:41 CST 2020","Tue Sep 29 17:55:41 CST 2020","152","testCase.SMP.authentication.OAuthController.updateSSO","test_updateSSO","Test_class","","","修改SSO对接配置-enable",""
"passed","Tue Sep 29 17:55:25 CST 2020","Tue Sep 29 17:55:25 CST 2020","159","testCase.SMP.authentication.AuthenticationPolicyController.addAuthenticationTypes","test_addAuthenticationTypes","Test_class","","","添加认证方式-添加多个，全部存在",""
"passed","Tue Sep 29 17:55:50 CST 2020","Tue Sep 29 17:55:50 CST 2020","207","testCase.SMP.authentication.SoftwareController.editSoftwareInfo","test_editsoftware","Test_class","","","软件名称版本唯一性校验",""
"passed","Tue Sep 29 17:55:39 CST 2020","Tue Sep 29 17:55:39 CST 2020","117","testCase.SMP.authentication.BlackListController.editEffectiveEndTime","test_editEffectiveEndTime","Test_class","","","永久有效修改为指定时间",""
